,TV,radio,newspaper,actual sales,predicted sales
115,78.2,46.8,34.5,14.6,15.188982101301315
159,11.7,36.9,45.2,7.3,10.219546556811574
192,75.5,10.8,6.0,9.9,8.334341575088487
140,184.9,43.9,1.7,20.7,19.65285416605532
191,39.5,41.1,5.8,10.8,12.404574747792259
161,172.5,18.1,30.7,14.4,14.121782866333838
11,66.1,5.8,24.2,8.6,6.9050849533807295
62,261.3,42.7,54.7,24.2,22.804687776219723
158,149.8,1.3,24.3,10.1,9.91493786968449
110,255.4,26.9,5.5,19.8,19.679579858006115
61,53.5,2.0,21.4,8.1,5.612861857263818
113,175.7,15.4,2.4,14.1,13.836538763014552
183,56.2,5.7,29.7,8.7,6.41436064689637
95,107.4,14.0,10.9,11.5,10.39765201718509
22,237.4,5.1,23.5,12.5,14.676890426589845
47,89.7,9.9,35.7,10.6,8.737580509826625
12,214.7,24.0,4.0,17.4,17.25770894814056
173,19.6,20.1,17.0,7.6,7.484219855150352
33,97.2,1.5,30.0,9.6,7.510600177489109
15,204.1,32.9,46.0,19.0,18.33649404289905
24,228.3,16.9,26.2,15.5,16.481320466021387
70,216.8,43.9,27.2,22.3,21.054365970384623
59,210.8,49.6,37.7,23.8,21.82672281041428
68,139.3,14.5,10.2,13.4,11.965720680409067
53,216.4,41.7,39.6,22.6,20.58577016655437
83,75.3,20.3,32.5,11.3,10.048956980108812
146,140.3,1.9,9.0,10.3,9.632208531621853
64,102.7,29.6,8.4,14.0,13.138013073990445
78,120.5,28.5,14.2,14.2,13.73517520404441
171,50.0,11.6,18.4,8.4,7.275220544344267
107,25.0,11.0,29.7,7.2,5.9774166115551886
102,296.4,36.3,100.9,23.8,23.086554538834363
155,187.8,21.1,9.5,15.6,15.453212535088245
200,232.1,8.6,8.7,13.4,15.134992625498597
7,57.5,32.8,23.5,11.8,11.616582296344829
123,224.0,2.4,15.6,11.6,13.569811352591087
172,164.5,20.9,47.4,14.5,14.236385601032424
147,240.1,7.3,8.7,13.2,15.258182923305245
199,283.6,42.0,66.2,25.5,23.66942584647903
142,193.7,35.4,75.6,19.2,18.248197037959184
